,Date,Entry_Price,Exit_Price,Exit_date,Ret,Shares,Signal,Ticker
145645,2007-06-20,403.8,452.0,2007-07-04,0.11936602278355624,3118.959465655248,Buy,IBREALEST
156457,2007-06-20,120.15,129.9,2007-07-04,0.08114856429463169,10482.195857108523,Buy,IDFC
278139,2007-06-20,135.05,132.1,2007-07-04,-0.021843761569789066,9325.700349734092,Buy,SAIL
355206,2007-06-20,110.6,120.4,2007-07-04,0.08860759493670889,11387.304088893212,Buy,VOLTAS
73614,2007-06-20,275.45,273.0,2007-07-04,-0.008894536213468807,4572.284742173132,Buy,CANBK
169371,2007-06-20,187.25,215.7,2007-07-04,0.15193591455273703,6725.95905063599,Buy,INDIACEM
307264,2007-06-20,75.3,77.85,2007-07-04,0.03386454183266929,16725.575461242883,Buy,SYNDIBANK
359896,2007-06-20,522.85,508.75,2007-07-04,0.027714987714987815,2408.7899631473447,Sell,WIPRO
96605,2007-06-20,245.2,253.05,2007-07-04,-0.031021537245603747,5136.361469133724,Sell,CROMPGREAV
123201,2007-06-20,664.55,657.0,2007-07-04,0.01149162861491626,1895.1709160057019,Sell,GLENMARK
228404,2007-06-20,522.15,520.05,2007-07-04,0.004038073262186304,2412.019213313395,Sell,NIITTECH
328267,2007-06-20,1147.0,1117.65,2007-07-04,0.026260457209323018,1098.0260089203043,Sell,TCS
